categoria,Valor,type,year,month,Columna1
Otros activos,9156829,T,2019,6,Activos
Total de activos,116501272,T,2019,6,Activos
Activos,2019,T,2019,9,Activos
Efectivo,500,T,2019,9,Activos
A la vista - locales,4177971,T,2019,9,Activos
A la vista - extranjeros,153700,T,2019,9,Activos
Arrendamientos financieros por cobrar,21377631,T,2019,9,Activos
Prstamos comerciales,1199664,T,2019,9,Activos
Factorajes por cobrar,101533701,T,2019,9,Activos
Menos: Reserva para arrendamientos financieros prstamos comerciales y factorajes por cobrar,1637316,T,2019,9,Activos
Intereses y comisiones no ganados,22657,T,2019,9,Activos
Arrendamientos financieros prstamos comerciales y factorajes por cobrar net,717122451023,T,2019,9,Activos
Impuesto Diferido,194272,T,2019,9,Activos
Otros activos,91263206,T,2019,9,Activos
Activos,2020,A,2020,12,Activos
Efectivo,500,A,2020,12,Activos
A la vista - locales,3925675,A,2020,12,Activos
A la vista - extranjeros,1022247,A,2020,12,Activos
Arrendamientos financieros,43912102,A,2020,12,Activos
Prstamos comerciales,1200177,A,2020,12,Activos
Factorajes por cobrar,156184943,A,2020,12,Activos
y factorajes por cobrar,2088258,A,2020,12,Activos
Intereses y comisiones no ganados,13405,A,2020,12,Activos
Arrendamientos financieros prstamos comerciales y factorajes por cobrar a costo amortizado,718199195559,A,2020,12,Activos
Activo intangible,870028,A,2020,12,Activos
Impuesto diferido,423343,A,2020,12,Activos
Otros activos,101803065,A,2020,12,Activos
Activos,2020,T,2020,12,Activos
Efectivo,500,T,2020,12,Activos
A la vista - locales,3925675,T,2020,12,Activos
A la vista - extranjeros,1022247,T,2020,12,Activos
Arrendamientos financieros,43912102,T,2020,12,Activos
Prstamos comerciales,1200177,T,2020,12,Activos
Factorajes por cobrar,156184943,T,2020,12,Activos
Menos: Reserva para arrendamientos financieros prstamos comerciales y factorajes,2088258,T,2020,12,Activos
Intereses y comisiones no ganado:,13405,T,2020,12,Activos
Arrendamientos financieros prstamos comerciales y factorajes por cobrar net,199195559,T,2020,12,Activos
Activo intangible,70028,T,2020,12,Activos
Impuesto diferido,423343,T,2020,12,Activos
Otros activos,3447362,T,2020,12,Activos
Efectivo,500,T,2020,3,Activos
A la vista - locales,3094005,T,2020,3,Activos
A la vista - extranjeros,458235,T,2020,3,Activos
Arrendamientos financieros por cobrar,42761452,T,2020,3,Activos
Prstamos comerciales,1195800,T,2020,3,Activos
Factorajes por cobrar,148721785,T,2020,3,Activos
Menos: Reserva para arrendamientos financieros prstamos comerciales y factorajes,1696145,T,2020,3,Activos
Intereses y comisiones no ganados,17836,T,2020,3,Activos
Arrendamientos financieros prstamos comerciales y factorajes por cobrar net,717190965056,T,2020,3,Activos
Impuesto diferido,312536,T,2020,3,Activos
Otros activos,92325531,T,2020,3,Activos
Activos,2020,T,2020,6,Activos
Efectivo,500,T,2020,6,Activos
A la vista - locales,107901,T,2020,6,Activos
A la vista - extranjeros,1239925,T,2020,6,Activos
Arrendamientos financieros por cobrar,44532534,T,2020,6,Activos
Prstamos comerciales,1200465,T,2020,6,Activos
Factorajes por cobrar,148597741,T,2020,6,Activos
Menos: Reserva para arrendamientos financieros prstamos comerciales y factorajes,2200552,T,2020,6,Activos
Intereses y comisiones no ganado!,23582,T,2020,6,Activos
Arrendamientos financieros prstamos comerciales y factorajes por cobrar net,192106606,T,2020,6,Activos
Impuesto diferido,312536,T,2020,6,Activos
Otros activos,2100918,T,2020,6,Activos
Activos,2020,T,2020,9,Activos
Efectivo,500,T,2020,9,Activos
A la vista - locales,153131,T,2020,9,Activos
A la vista - extranjeros,416351,T,2020,9,Activos
A plazo - locales,10710019,T,2020,9,Activos
Arrendamientos financieros,43948529,T,2020,9,Activos
Prstamos comerciales,1193949,T,2020,9,Activos
Factorajes por cobrar,134262444,T,2020,9,Activos
Menos: Reserva para arrendamientos financieros prstamos comerciales y factorajes,2375171,T,2020,9,Activos
Intereses y comisiones no ganados,18449,T,2020,9,Activos
Arrendamientos financieros prstamos comerciales y factorajes por cobrar neto,177011302,T,2020,9,Activos
Impuesto diferido,397000,T,2020,9,Activos
Otros activos,2734990,T,2020,9,Activos
Activos,0,A,2021,12,Activos
Efectivo,501,A,2021,12,Activos
A la vista - locales,6064891,A,2021,12,Activos
A la vista - extranjeros,1104486,A,2021,12,Activos
A plazo - locales,7890014,A,2021,12,Activos
Arrendamientos financieros,43149704,A,2021,12,Activos
Prstamos comerciales,1192142,A,2021,12,Activos
Factorajes por cobrar,174414966,A,2021,12,Activos
y factorajes por cobrar,2061195,A,2021,12,Activos
Intereses y comisiones no ganados,5179,A,2021,12,Activos
Arrendamientos financieros prstamos comerciales y factorajes por cobrar a costo amortizado,718216690438,A,2021,12,Activos
Activo intangible,856178,A,2021,12,Activos
Impuesto diferido,9394501,A,2021,12,Activos
Otros activos,102123289,A,2021,12,Activos
Activos,2021,T,2021,12,Activos
Efectivo,501,T,2021,12,Activos
A la vista - locales,6064891,T,2021,12,Activos
A la vista - extranjeros,1104486,T,2021,12,Activos
A plazo - locales,7890014,T,2021,12,Activos
Arrendamientos financieros,43149704,T,2021,12,Activos
Prstamos comerciales,1192142,T,2021,12,Activos
Factorajes por cobrar,174414966,T,2021,12,Activos
Menos: Reserva para arrendamientos financieros prstamos comerciales y factorajes,2061195,T,2021,12,Activos
Intereses y comisiones no ganados,5179,T,2021,12,Activos
Arrendamientos financieros prstamos comerciales y factorajes por cobrar a costo amortiza 718,216690438,T,2021,12,Activos
Activo intangible,56178,T,2021,12,Activos
Impuesto diferido,394501,T,2021,12,Activos
Otros activos,2123289,T,2021,12,Activos
Activos,2021,T,2021,3,Activos
Efectivo,500,T,2021,3,Activos
A la vista - locales,4522727,T,2021,3,Activos
A la vista - extranjeros,1134390,T,2021,3,Activos
Arrendamientos financieros,44976196,T,2021,3,Activos
Prstamos comerciales,1198280,T,2021,3,Activos
Factorajes por cobrar,154053638,T,2021,3,Activos
Menos: Reserva para arrendamientos financieros prstamos comerciales y factorajes,2052453,T,2021,3,Activos
Intereses y comisiones no ganados,10461,T,2021,3,Activos
Arrendamientos financieros prstamos comerciales y factorajes por cobrar a costo amortiza,198165200,T,2021,3,Activos
Activo intangible,66503,T,2021,3,Activos
Impuesto diferido,423342,T,2021,3,Activos
Otros activos,1910781,T,2021,3,Activos
Activos,2021,T,2021,6,Activos
Efectivo,500,T,2021,6,Activos
A la vista - locales,4984945,T,2021,6,Activos
A la vista - extranjeros,1288839,T,2021,6,Activos
A plazo - locales,41090071,T,2021,6,Activos
Arrendamientos financieros,45641339,T,2021,6,Activos
Prstamos comerciales,1190214,T,2021,6,Activos
Factorajes por cobrar,121122187,T,2021,6,Activos
Menos: Reserva para arrendamientos financieros prstamos comerciales y factorajes,1745037,T,2021,6,Activos
Intereses y comisiones no ganados,8870,T,2021,6,Activos
Arrendamientos financieros prstamos comerciales y factorajes por cobrar a costo amortiza,166199833,T,2021,6,Activos
Activo intangible,63017,T,2021,6,Activos
Impuesto diferido,399428,T,2021,6,Activos
Otros activos,2116268,T,2021,6,Activos
Activos,2021,T,2021,9,Activos
Efectivo,501,T,2021,9,Activos
A la vista - locales,5867546,T,2021,9,Activos
A la vista - extranjeros,720380,T,2021,9,Activos
A plazo - locales,6450011,T,2021,9,Activos
Arrendamientos financieros,44281833,T,2021,9,Activos
Prstamos comerciales,1193008,T,2021,9,Activos
Factorajes por cobrar,156899407,T,2021,9,Activos
Menos: Reserva para arrendamientos financieros prstamos comerciales y factorajes,1769721,T,2021,9,Activos
Intereses y comisiones no ganados,7397,T,2021,9,Activos
Arrendamientos financieros prstamos comerciales y factorajes por cobrar a costo amortiza 718,200597130,T,2021,9,Activos
Activo intangible,59567,T,2021,9,Activos
Impuesto diferido,289171,T,2021,9,Activos
Otros activos,2495863,T,2021,9,Activos
Activos,2022,T,2022,6,Activos
Efectivo,500,T,2022,6,Activos
A la vista - locales,6146287,T,2022,6,Activos
A la vista - extranjeros,645945,T,2022,6,Activos
A plazo - locales,7870000,T,2022,6,Activos
Arrendamientos financieros,42096427,T,2022,6,Activos
Prstamos comerciales,1189054,T,2022,6,Activos
Factorajes por cobrar,185091919,T,2022,6,Activos
Menos: Reserva para arrendamientos financieros prstamos comerciales y factorajes,2531029,T,2022,6,Activos
Intereses y comisiones no ganados,2949,T,2022,6,Activos
Arrendamientos financieros prstamos comerciales y factorajes por cobrar a costo amortiz 718,225843422,T,2022,6,Activos
Activo intangible,49655,T,2022,6,Activos
Impuesto diferido,554272,T,2022,6,Activos
Otros activos,2534449,T,2022,6,Activos
